class_a	class_b	shared_perms	loops_swapped	doors_changed	swap_signature
872.up-7ad1d8247eca.txt	872.up-f7bd304a1cf5.txt	563	3	0	3d5058eca44f
872.up-314067e0df43.txt	872.up-b085d57241a9.txt	559	3	0	d8e30b9c7721
872.up-1f8cae05a727.txt	872.up-706cd862c2a3.txt	549	3	0	bde3b0b76807
872.up-abdf013a6935.txt	872.up-ae167692bd96.txt	549	3	0	bde3b0b76807
872.up-238eaae22f05.txt	872.up-612fc5cb2ae5.txt	545	3	0	aafe48b4401a
872.up-293f18c650d7.txt	872.up-86609009a88b.txt	545	3	0	aafe48b4401a
872.up-3e7585a64270.txt	872.up-a8d6e3d7b419.txt	545	3	0	aafe48b4401a
872.up-0c01cb2971c7.txt	872.up-e1aaf0354090.txt	543	3	0	bde3b0b76807
872.up-1963362330a7.txt	872.up-28900d399ab1.txt	543	3	0	bde3b0b76807
872.up-27f169e7f65f.txt	872.up-e92e15e93741.txt	543	3	0	bde3b0b76807
872.up-28d3d4b1045f.txt	872.up-ec4e5bb0333c.txt	543	3	0	bde3b0b76807
872.up-38d1d06168bc.txt	872.up-bda3d87ca120.txt	535	3	0	bde3b0b76807
872.up-7d145332c908.txt	872.up-9aca389fd66a.txt	535	3	0	bde3b0b76807
872.up-1a8301d404c4.txt	872.up-2371863c9c05.txt	532	3	0	bde3b0b76807
872.up-44bfe1dd8686.txt	872.up-ba5f969a9580.txt	532	3	0	bde3b0b76807
872.up-8791ffaa44ef.txt	872.up-af98b14283a2.txt	532	3	0	bde3b0b76807
872.up-1b2afa77e2b9.txt	872.up-6eeb4a410d4f.txt	525	3	0	bde3b0b76807
872.up-332dfe33b264.txt	872.up-e19b168e448b.txt	525	3	0	aafe48b4401a
872.up-ae9784bef819.txt	872.up-b81e632d4649.txt	525	3	0	bde3b0b76807
872.up-aee89c9fb91d.txt	872.up-e77afad583f8.txt	524	3	0	d8e30b9c7721
