timestamp,index,pattern,K,Sigma,engine,outcome,best_partial,minutes,worker_pid,word_file
2026-07-27T21:25:02,58,666646663664664666466466646666,30,15,sat,TIMEOUT-KILLED,,33.0,24048,
2026-07-27T21:25:03,59,666646663664664666466646646666,30,15,sat,TIMEOUT-KILLED,,33.0,26568,
2026-07-27T21:56:05,60,666646664663666466646646664666,30,15,sat,TIMEOUT-KILLED,,33.0,8496,
2026-07-27T21:56:05,61,666646664664663666466646646666,30,15,sat,TIMEOUT-KILLED,,33.0,28108,
2026-07-27T21:56:05,62,666646664664666466466366646666,30,15,sat,TIMEOUT-KILLED,,33.0,27008,
2026-07-27T21:56:06,63,666646664664666466466646636666,30,15,sat,TIMEOUT-KILLED,,33.0,16852,
2026-07-27T21:56:07,64,666646664664666466466646646665,30,15,sat,TIMEOUT-KILLED,,33.0,23584,
2026-07-27T21:56:07,65,666646664664666466646366646666,30,15,sat,TIMEOUT-KILLED,,33.0,14240,
2026-07-27T21:56:07,66,666646664664666466646646636666,30,15,sat,TIMEOUT-KILLED,,33.0,28972,
2026-07-27T21:56:07,67,666646664664666466646646664665,30,15,sat,TIMEOUT-KILLED,,33.0,2060,
2026-07-27T21:56:08,68,666646664666463664666466646666,30,15,sat,TIMEOUT-KILLED,,33.0,14356,
2026-07-27T21:56:08,69,666646664666466364666466646666,30,15,sat,TIMEOUT-KILLED,,33.0,12664,
2026-07-27T21:56:08,70,666646664666466366646664664666,30,15,sat,TIMEOUT-KILLED,,33.0,12244,
2026-07-27T21:56:09,71,666646664666466466366646664666,30,15,sat,TIMEOUT-KILLED,,33.0,25824,
2026-07-27T21:23:10,72,666646664666466466646664636666,30,15,sat,UNSAT,,0.02,7044,
2026-07-27T21:23:18,73,666646664666466466646664664665,30,15,sat,UNSAT,,0.14,20108,
2026-07-27T21:23:12,74,4666466466646664664666466646666,31,16,sat,UNSAT,,0.04,8480,
2026-07-27T21:56:10,75,4666466646646664666466466646666,31,16,sat,TIMEOUT-KILLED,,33.0,12756,
2026-07-27T21:23:16,76,4666466646664664666466646646666,31,16,sat,UNSAT,,0.1,25048,
2026-07-27T21:56:10,77,5666466466646663664666466646666,31,16,sat,TIMEOUT-KILLED,,33.0,12992,
2026-07-27T21:23:13,78,5666466466646664664666466646665,31,16,sat,UNSAT,,0.05,22928,
2026-07-27T21:25:27,79,5666466646646664666466466646665,31,16,sat,UNSAT,,2.28,3604,
2026-07-27T21:56:10,80,5666466646664663666466646646666,31,16,sat,TIMEOUT-KILLED,,33.0,6620,
2026-07-27T21:23:13,81,5666466646664664666466646646665,31,16,sat,UNSAT,,0.05,7044,
2026-07-27T21:23:12,82,6466466466646664664666466646666,31,16,sat,UNSAT,,0.02,1752,
2026-07-27T21:56:11,83,6466466646664664666466646646666,31,16,sat,TIMEOUT-KILLED,,33.0,5780,
2026-07-27T21:24:17,84,6466646646664664666466466646666,31,16,sat,UNSAT,,1.11,17176,
2026-07-27T21:52:37,85,6466646646664666466466646664666,31,16,sat,UNSAT,,29.42,8480,
2026-07-27T21:56:12,86,6466646664664666466646646664666,31,16,sat,TIMEOUT-KILLED,,33.0,1752,
2026-07-27T21:56:13,87,6646646646664666466466646664666,31,16,sat,TIMEOUT-KILLED,,33.0,7044,
2026-07-27T21:56:14,88,6646646664664666466466646646666,31,16,sat,TIMEOUT-KILLED,,33.0,22928,
2026-07-27T21:33:00,89,6646646664666466466646664664666,31,16,sat,UNSAT,,9.73,25048,
2026-07-27T21:56:18,90,6646664664666466466646646664666,31,16,sat,TIMEOUT-KILLED,,33.0,20108,
2026-07-27T21:56:19,91,6646664664666466646646664666466,31,16,sat,TIMEOUT-KILLED,,33.0,4824,
2026-07-27T21:57:18,92,6646664666446664664666466646666,31,16,sat,TIMEOUT-KILLED,,33.0,17176,
2026-07-27T21:58:02,93,6646664666466466644666466646666,31,16,sat,TIMEOUT-KILLED,,33.0,24048,
2026-07-27T21:58:04,94,6646664666466466646646664666466,31,16,sat,TIMEOUT-KILLED,,33.0,26568,
2026-07-27T21:58:27,95,6646664666466466646664664666466,31,16,sat,TIMEOUT-KILLED,,33.0,3604,
2026-07-27T22:06:00,96,6646664666466644666466466646666,31,16,sat,TIMEOUT-KILLED,,33.0,25048,
2026-07-27T22:25:37,97,6664466466646664664666466646666,31,16,sat,TIMEOUT-KILLED,,33.0,8480,
2026-07-27T21:56:07,98,6664466646646664666466466646666,31,16,sat,UNSAT,,0.03,8496,
2026-07-27T22:29:05,99,6664664666446664664666466646666,31,16,sat,TIMEOUT-KILLED,,33.0,28108,
2026-07-27T22:29:06,100,6664664666446664666466466646666,31,16,sat,TIMEOUT-KILLED,,33.0,27008,
2026-07-27T22:29:06,101,6664664666466466644666466646666,31,16,sat,TIMEOUT-KILLED,,33.0,16852,
2026-07-27T22:29:07,102,6664664666466466646646664664666,31,16,sat,TIMEOUT-KILLED,,33.0,23584,
2026-07-27T22:01:43,103,6664664666466466646664466646666,31,16,sat,UNSAT,,5.6,8496,
2026-07-27T22:29:07,104,6664664666466644666466466646666,31,16,sat,TIMEOUT-KILLED,,33.0,14240,
2026-07-27T22:29:07,105,6664664666466646646664466646666,31,16,sat,TIMEOUT-KILLED,,33.0,28972,
2026-07-27T22:07:41,106,6664664666466646646664666466466,31,16,sat,UNSAT,,11.55,2060,
2026-07-27T22:29:08,107,6664666446664664666466466646666,31,16,sat,TIMEOUT-KILLED,,33.0,14356,
2026-07-27T22:29:08,108,6664666446664664666466646646666,31,16,sat,TIMEOUT-KILLED,,33.0,12664,
2026-07-27T22:07:31,109,6664666446664666466466646646666,31,16,sat,UNSAT,,11.38,12244,
2026-07-27T22:29:09,110,6664666466466644666466646646666,31,16,sat,TIMEOUT-KILLED,,33.0,25824,
2026-07-27T22:29:10,111,6664666466466646646664466646666,31,16,sat,TIMEOUT-KILLED,,33.0,12756,
2026-07-27T22:29:10,112,6664666466466646646664664666466,31,16,sat,TIMEOUT-KILLED,,33.0,12992,
2026-07-27T22:29:11,113,6664666466466646663666366646666,31,16,sat,TIMEOUT-KILLED,,33.0,6620,
2026-07-27T22:29:11,114,6664666466466646664466646646666,31,16,sat,TIMEOUT-KILLED,,33.0,5780,
2026-07-27T22:29:13,115,6664666466466646664664666446666,31,16,sat,TIMEOUT-KILLED,,33.0,1752,
2026-07-27T22:29:14,116,6664666466466646664664666466646,31,16,sat,TIMEOUT-KILLED,,33.0,7044,
2026-07-27T22:29:14,117,6664666466626664664666466646666,31,16,sat,TIMEOUT-KILLED,,33.0,22928,
2026-07-27T22:29:18,118,6664666466636663664666466646666,31,16,sat,TIMEOUT-KILLED,,33.0,20108,
2026-07-27T22:29:19,119,6664666466636663666466646646666,31,16,sat,TIMEOUT-KILLED,,33.0,4824,
2026-07-27T22:30:18,120,6664666466644666466466646646666,31,16,sat,TIMEOUT-KILLED,,33.0,17176,
2026-07-27T22:31:02,121,6664666466644666466466646664666,31,16,sat,TIMEOUT-KILLED,,33.0,24048,
2026-07-27T22:31:04,122,6664666466646644664666466646666,31,16,sat,TIMEOUT-KILLED,,33.0,26568,
2026-07-27T22:31:27,123,6664666466646646662666466646666,31,16,sat,TIMEOUT-KILLED,,33.0,3604,
2026-07-27T22:34:43,124,6664666466646646664466646664666,31,16,sat,TIMEOUT-KILLED,,33.0,8496,
2026-07-27T22:39:00,125,6664666466646646664666466446666,31,16,sat,TIMEOUT-KILLED,,33.0,25048,
2026-07-27T22:40:32,126,6664666466646646664666466466466,31,16,sat,TIMEOUT-KILLED,,33.0,12244,
2026-07-27T22:37:34,127,6664666466646646664666466466646,31,16,sat,UNSAT,,29.89,2060,
2026-07-27T22:58:38,128,6664666466646662666466466646666,31,16,sat,TIMEOUT-KILLED,,33.0,8480,
2026-07-27T23:02:06,129,6666266646646664666466466646666,31,16,sat,TIMEOUT-KILLED,,33.0,28108,
2026-07-27T23:02:06,130,6666366466646663664666466646666,31,16,sat,TIMEOUT-KILLED,,33.0,27008,
2026-07-27T22:42:59,131,6666366636646664664666466646666,31,16,sat,UNSAT,,13.89,16852,
2026-07-27T23:02:07,132,6666366636664666466466646646666,31,16,sat,TIMEOUT-KILLED,,33.0,23584,
2026-07-27T23:02:07,133,6666366646664663666466646646666,31,16,sat,TIMEOUT-KILLED,,33.0,14240,
2026-07-27T22:58:52,134,6666446466646664664666466646666,31,16,sat,UNSAT,,29.74,28972,
2026-07-27T22:29:35,135,6666446646646664666466466646666,31,16,sat,UNSAT,,0.45,14356,
2026-07-27T23:02:09,136,6666446646664664666466466646666,31,16,sat,TIMEOUT-KILLED,,33.0,12664,
2026-07-27T23:02:09,137,6666446646664666466466646664666,31,16,sat,TIMEOUT-KILLED,,33.0,25824,
2026-07-27T23:02:10,138,6666446664664666466466646646666,31,16,sat,TIMEOUT-KILLED,,33.0,12756,
2026-07-27T23:02:10,139,6666446664664666466646646664666,31,16,sat,TIMEOUT-KILLED,,33.0,12992,
2026-07-27T23:02:11,140,6666466266646664664666466646666,31,16,sat,TIMEOUT-KILLED,,33.0,6620,
2026-07-27T22:32:06,141,6666466266646664666466466646666,31,16,sat,UNSAT,,2.92,5780,
2026-07-27T23:02:13,142,6666466466626664664666466646666,31,16,sat,TIMEOUT-KILLED,,33.0,1752,
2026-07-27T23:02:14,143,6666466466626664666466646646666,31,16,sat,TIMEOUT-KILLED,,33.0,7044,
