index,pattern,K,Sigma,verdict,zero_candidate_columns,cadical_pass1,dlx_sweep
76,4666466646664664666466646646666,31,16,UNSAT,0,UNSAT,
77,5666466466646663664666466646666,31,16,STRUCTURAL,1,TIMEOUT-KILLED,
78,5666466466646664664666466646665,31,16,STRUCTURAL,1,UNSAT,
79,5666466646646664666466466646665,31,16,UNSAT,0,UNSAT,
80,5666466646664663666466646646666,31,16,STRUCTURAL,2,TIMEOUT-KILLED,
81,5666466646664664666466646646665,31,16,STRUCTURAL,1,UNSAT,
82,6466466466646664664666466646666,31,16,UNSAT,0,UNSAT,
83,6466466646664664666466646646666,31,16,OPEN,0,TIMEOUT-KILLED,
84,6466646646664664666466466646666,31,16,UNSAT,0,UNSAT,
85,6466646646664666466466646664666,31,16,UNSAT,0,UNSAT,
86,6466646664664666466646646664666,31,16,OPEN,0,TIMEOUT-KILLED,
87,6646646646664666466466646664666,31,16,STRUCTURAL,2,TIMEOUT-KILLED,
88,6646646664664666466466646646666,31,16,OPEN,0,TIMEOUT-KILLED,
89,6646646664666466466646664664666,31,16,UNSAT,0,UNSAT,
90,6646664664666466466646646664666,31,16,OPEN,0,TIMEOUT-KILLED,
91,6646664664666466646646664666466,31,16,OPEN,0,TIMEOUT-KILLED,
92,6646664666446664664666466646666,31,16,OPEN,0,TIMEOUT-KILLED,
93,6646664666466466644666466646666,31,16,STRUCTURAL,1,TIMEOUT-KILLED,
94,6646664666466466646646664666466,31,16,OPEN,0,TIMEOUT-KILLED,
95,6646664666466466646664664666466,31,16,OPEN,0,TIMEOUT-KILLED,
96,6646664666466644666466466646666,31,16,STRUCTURAL,1,TIMEOUT-KILLED,
97,6664466466646664664666466646666,31,16,OPEN,0,TIMEOUT-KILLED,
98,6664466646646664666466466646666,31,16,UNSAT,0,UNSAT,
99,6664664666446664664666466646666,31,16,STRUCTURAL,1,TIMEOUT-KILLED,
100,6664664666446664666466466646666,31,16,OPEN,0,TIMEOUT-KILLED,
101,6664664666466466644666466646666,31,16,OPEN,0,TIMEOUT-KILLED,
102,6664664666466466646646664664666,31,16,OPEN,0,TIMEOUT-KILLED,
103,6664664666466466646664466646666,31,16,UNSAT,0,UNSAT,
104,6664664666466644666466466646666,31,16,OPEN,0,TIMEOUT-KILLED,
105,6664664666466646646664466646666,31,16,OPEN,0,TIMEOUT-KILLED,
106,6664664666466646646664666466466,31,16,UNSAT,0,UNSAT,
107,6664666446664664666466466646666,31,16,OPEN,0,TIMEOUT-KILLED,
108,6664666446664664666466646646666,31,16,OPEN,0,TIMEOUT-KILLED,
109,6664666446664666466466646646666,31,16,UNSAT,0,UNSAT,
110,6664666466466644666466646646666,31,16,OPEN,0,TIMEOUT-KILLED,
111,6664666466466646646664466646666,31,16,OPEN,0,TIMEOUT-KILLED,
112,6664666466466646646664664666466,31,16,OPEN,0,TIMEOUT-KILLED,
113,6664666466466646663666366646666,31,16,STRUCTURAL,2,TIMEOUT-KILLED,
114,6664666466466646664466646646666,31,16,OPEN,0,TIMEOUT-KILLED,
115,6664666466466646664664666446666,31,16,OPEN,0,TIMEOUT-KILLED,
116,6664666466466646664664666466646,31,16,OPEN,0,TIMEOUT-KILLED,
117,6664666466626664664666466646666,31,16,OPEN,0,TIMEOUT-KILLED,
118,6664666466636663664666466646666,31,16,STRUCTURAL,1,TIMEOUT-KILLED,
119,6664666466636663666466646646666,31,16,STRUCTURAL,2,TIMEOUT-KILLED,
120,6664666466644666466466646646666,31,16,OPEN,0,TIMEOUT-KILLED,
121,6664666466644666466466646664666,31,16,OPEN,0,TIMEOUT-KILLED,
122,6664666466646644664666466646666,31,16,OPEN,0,TIMEOUT-KILLED,
123,6664666466646646662666466646666,31,16,STRUCTURAL,1,TIMEOUT-KILLED,
124,6664666466646646664466646664666,31,16,OPEN,0,TIMEOUT-KILLED,
125,6664666466646646664666466446666,31,16,OPEN,0,TIMEOUT-KILLED,
126,6664666466646646664666466466466,31,16,STRUCTURAL,2,TIMEOUT-KILLED,
127,6664666466646646664666466466646,31,16,UNSAT,0,UNSAT,
128,6664666466646662666466466646666,31,16,STRUCTURAL,2,TIMEOUT-KILLED,
129,6666266646646664666466466646666,31,16,OPEN,0,TIMEOUT-KILLED,
130,6666366466646663664666466646666,31,16,OPEN,0,TIMEOUT-KILLED,
