index,pattern,K,Sigma,verdict,zero_candidate_columns,cadical_pass1,dlx_sweep,V,chain_frame,cover_language_scope,verdict_scope,corpus_in_frame,corpus_total,corpus_frame_fraction
33,566646664666466466646664664666,30,15,STRUCTURAL,1,UNSAT,UNSAT,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
34,666466466646663664666466646666,30,15,STRUCTURAL,1,TIMEOUT-KILLED,UNSAT,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
35,666466466646664664666466646665,30,15,STRUCTURAL,1,UNSAT,UNSAT,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
36,666466646646664664666466636666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
37,666466646646664666366466646666,30,15,STRUCTURAL,1,TIMEOUT-KILLED,UNSAT,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
38,666466646646664666466466646665,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
39,666466646663664664666466646666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
40,666466646663664666466646646666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
41,666466646664663666466646646666,30,15,STRUCTURAL,1,TIMEOUT-KILLED,UNSAT,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
42,666466646664664666466646646665,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
43,666636466646664664666466646666,30,15,UNSAT,0,UNSAT,UNSAT,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
44,666636646646664666466466646666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
45,666636646664664666466466646666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
46,666636646664664666466646646666,30,15,STRUCTURAL,1,TIMEOUT-KILLED,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
47,666636664666466466646646664666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
48,666646636664666466466646646666,30,15,STRUCTURAL,2,TIMEOUT-KILLED,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
49,666646646664664666466466646665,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
50,666646646664664666466636646666,30,15,STRUCTURAL,2,TIMEOUT-KILLED,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
51,666646646664666366466466646666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
52,666646646664666366466646664666,30,15,STRUCTURAL,1,TIMEOUT-KILLED,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
53,666646646664666466366646664666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
54,666646646664666466466366646666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
55,666646646664666466466646636666,30,15,STRUCTURAL,1,TIMEOUT-KILLED,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
56,666646646664666466466646664665,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
57,666646663646664666466466646666,30,15,STRUCTURAL,2,TIMEOUT-KILLED,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
58,666646663664664666466466646666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
59,666646663664664666466646646666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
60,666646664663666466646646664666,30,15,STRUCTURAL,1,TIMEOUT-KILLED,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
61,666646664664663666466646646666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
62,666646664664666466466366646666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
63,666646664664666466466646636666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
64,666646664664666466466646646665,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
65,666646664664666466646366646666,30,15,STRUCTURAL,2,TIMEOUT-KILLED,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
66,666646664664666466646646636666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
67,666646664664666466646646664665,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
68,666646664666463664666466646666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
69,666646664666466364666466646666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
70,666646664666466366646664664666,30,15,STRUCTURAL,1,TIMEOUT-KILLED,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
71,666646664666466466366646664666,30,15,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
72,666646664666466466646664636666,30,15,UNSAT,0,UNSAT,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
