index,pattern,K,Sigma,verdict,nodes,maxdepth,seconds
142,6666466466626664664666466646666,31,16,TIMEOUT,336205824,80,600
146,6666466466646646664466646664666,31,16,TIMEOUT,358328320,81,600
147,6666466466646646664664666446666,31,16,TIMEOUT,355244032,82,600
148,6666466466646646664664666466466,31,16,TIMEOUT,247955456,74,600
156,6666466466646664663666366646666,31,16,TIMEOUT,349081600,78,600
155,6666466466646664466646646664666,31,16,TIMEOUT,273225728,85,600
153,6666466466646663666366466646666,31,16,TIMEOUT,348516352,83,600
157,6666466466646664664666266646666,31,16,TIMEOUT,254785536,78,600
158,6666466466646664664666446664666,31,16,TIMEOUT,352325632,82,600
162,6666466626664664666466466646666,31,16,TIMEOUT,342542336,84,601
159,6666466466646664664666466646646,31,16,TIMEOUT,351674368,81,601
164,6666466636646663664666466646666,31,16,TIMEOUT,357959680,82,600
163,6666466626664664666466646646666,31,16,TIMEOUT,364222464,82,600
165,6666466636646664666366466646666,31,16,TIMEOUT,373264384,93,600
166,6666466636646664666466366646666,31,16,TIMEOUT,358844416,77,600
168,6666466636663664666466466646666,31,16,TIMEOUT,336185344,75,600
167,6666466636663664664666466646666,31,16,TIMEOUT,333858816,83,600
169,6666466636663664666466646646666,31,16,TIMEOUT,342962176,78,600
171,6666466644646664666466466646666,31,16,TIMEOUT,330983424,73,600
172,6666466644666466466646646664666,31,16,TIMEOUT,266788864,81,600
177,6666466646636664666466366646666,31,16,TIMEOUT,355330048,81,600
173,6666466644666466466646664664666,31,16,TIMEOUT,348131328,79,600
176,6666466646636663666466646646666,31,16,TIMEOUT,257423360,77,600
178,6666466646644664664666466646666,31,16,TIMEOUT,338513920,75,600
179,6666466646646644664666466646666,31,16,TIMEOUT,337743872,74,600
180,6666466646646662664666466646666,31,16,TIMEOUT,348534784,81,600
181,6666466646646662666466466646666,31,16,TIMEOUT,371855360,83,600
185,6666466646646664663666366646666,31,16,TIMEOUT,351223808,83,600
183,6666466646646664466646664664666,31,16,TIMEOUT,351875072,78,600
186,6666466646646664664666266646666,31,16,TIMEOUT,344315904,76,600
187,6666466646646664664666446664666,31,16,TIMEOUT,354576384,76,600
188,6666466646646664664666466446666,31,16,TIMEOUT,352591872,82,600
190,6666466646646664666446664664666,31,16,TIMEOUT,355278848,76,600
191,6666466646646664666464466646666,31,16,TIMEOUT,337917952,77,600
193,6666466646646664666466466626666,31,16,TIMEOUT,343148544,72,600
195,6666466646646664666466466646664,31,16,TIMEOUT,335005696,80,600
199,6666466646664466646646664664666,31,16,TIMEOUT,356364288,81,600
202,6666466646664662664666466646666,31,16,TIMEOUT,253345792,79,600
203,6666466646664662666466466646666,31,16,TIMEOUT,348688384,78,600
205,6666466646664663666466366646666,31,16,TIMEOUT,353787904,84,600
209,6666466646664664466466466646666,31,16,TIMEOUT,333592576,75,600
206,6666466646664663666466646636666,31,16,TIMEOUT,351123456,84,600
210,6666466646664664466466646664666,31,16,TIMEOUT,330340352,76,600
211,6666466646664664663666366646666,31,16,TIMEOUT,260593664,79,600
212,6666466646664664664466466646666,31,16,TIMEOUT,334002176,74,600
213,6666466646664664666266646646666,31,16,TIMEOUT,331868160,74,600
214,6666466646664664666266646664666,31,16,TIMEOUT,340959232,79,600
216,6666466646664664666446664666466,31,16,TIMEOUT,472635392,83,600
SWEEP COMPLETE Tue Jul 28 07:05:32 MDT 2026
