[dlx7g] ../../data/trackc/instances/c5906_666466646646.txt: cols=620 rows=3228 loops=658 nchild=5 maxcolsz=35 weights=../../ml/models/trackc_modelB.txt eps=0.15 seed=2
[progress] nodes=47775744 total=109775749 depth=49 maxdepth=94 elapsed=695.4s
[progress] nodes=49741824 total=111741829 depth=55 maxdepth=94 elapsed=705.7s
[progress] nodes=51511296 total=113511301 depth=50 maxdepth=94 elapsed=715.7s
[progress] nodes=53215232 total=115215237 depth=57 maxdepth=94 elapsed=726.0s
[progress] nodes=55050240 total=117050245 depth=43 maxdepth=94 elapsed=736.3s
[progress] nodes=56885248 total=118885253 depth=55 maxdepth=94 elapsed=746.6s
[progress] nodes=58589184 total=120589189 depth=46 maxdepth=94 elapsed=756.8s
[progress] nodes=60358656 total=122358661 depth=56 maxdepth=94 elapsed=766.9s
[progress] nodes=62259200 total=124259205 depth=50 maxdepth=94 elapsed=777.1s
[progress] nodes=63963136 total=125963141 depth=60 maxdepth=94 elapsed=787.3s
[attempt 6] res=-1 nodes=64000001 (cap 64000000) total=126000006 maxdepth=90 cycle_prunes=871223 dead_ends=11120546 rootless=0
[progress] nodes=1966080 total=127966086 depth=53 maxdepth=94 elapsed=797.4s
[progress] nodes=3932160 total=129932166 depth=57 maxdepth=94 elapsed=807.5s
[progress] nodes=5767168 total=131767174 depth=44 maxdepth=94 elapsed=817.7s
[progress] nodes=7536640 total=133536646 depth=52 maxdepth=94 elapsed=827.9s
[progress] nodes=9371648 total=135371654 depth=61 maxdepth=94 elapsed=837.9s
[progress] nodes=11403264 total=137403270 depth=61 maxdepth=94 elapsed=848.1s
[progress] nodes=13172736 total=139172742 depth=60 maxdepth=94 elapsed=858.3s
[progress] nodes=14876672 total=140876678 depth=65 maxdepth=94 elapsed=868.3s
[progress] nodes=16973824 total=142973830 depth=60 maxdepth=94 elapsed=878.5s
[progress] nodes=18874368 total=144874374 depth=61 maxdepth=94 elapsed=888.8s
[progress] nodes=20774912 total=146774918 depth=53 maxdepth=94 elapsed=898.9s
[progress] nodes=22872064 total=148872070 depth=61 maxdepth=94 elapsed=909.1s
[progress] nodes=24707072 total=150707078 depth=58 maxdepth=94 elapsed=919.4s
[progress] nodes=26607616 total=152607622 depth=58 maxdepth=94 elapsed=929.5s
[progress] nodes=28704768 total=154704774 depth=48 maxdepth=94 elapsed=939.8s
[progress] nodes=30408704 total=156408710 depth=60 maxdepth=94 elapsed=950.0s
[progress] nodes=32243712 total=158243718 depth=66 maxdepth=94 elapsed=960.4s
[progress] nodes=34078720 total=160078726 depth=54 maxdepth=94 elapsed=970.6s
[progress] nodes=36110336 total=162110342 depth=61 maxdepth=94 elapsed=980.7s
