lift873_source	lift873_target	source_872	landing_872	verdict
873.w4lift-010c80158e14.txt	873.w4lift-3d34d2ecc257.txt	872.up-e0fb97e448b2.txt	872.up-a7722221f832.txt	BRIDGE
873.w4lift-02e4398ab1bc.txt	873.w4lift-c15c3b7de0d2.txt	872.up-5e291240a586.txt	872.up-69cfcee897b0.txt	BRIDGE
873.w4lift-02e4398ab1bc.txt	873.w4lift-c86c3ec85ad7.txt	872.up-5e291240a586.txt	872.up-f68b4bd3e17e.txt	BRIDGE
873.w4lift-04266b39cf20.txt	873.w4lift-b3608e6912b6.txt	872.up-2494d33b3dc3.txt	872.up-78dd9e9830df.txt	BRIDGE
873.w4lift-04cf2f2bfcfc.txt	873.w4lift-3a2d58cc764b.txt	872.up-b67b30dc2759.txt	872.up-7da2e43b227a.txt	BRIDGE
873.w4lift-064e73f8aaa9.txt	873.w4lift-8c31211fed69.txt	872.up-b3fe856d9e31.txt	872.up-81b93b88bbc6.txt	BRIDGE
873.w4lift-065091c647be.txt	873.w4lift-cb26a02b5cff.txt	872.up-cd67e383d468.txt	872.up-358347036529.txt	BRIDGE
873.w4lift-06d9b5ac0aec.txt	873.w4lift-0b8de8822ee0.txt	872.up-d08924967b2d.txt	872.up-3214cc669fcb.txt	BRIDGE
873.w4lift-06d9b5ac0aec.txt	873.w4lift-e8370f507209.txt	872.up-d08924967b2d.txt	872.up-a6938f30e463.txt	BRIDGE
873.w4lift-080f6c45c387.txt	873.w4lift-09562fda7acf.txt	872.up-8bc7f2b2ef49.txt	872.up-238fdb108a17.txt	BRIDGE
873.w4lift-080f6c45c387.txt	873.w4lift-0e76e182d4b1.txt	872.up-8bc7f2b2ef49.txt	872.up-8744a153bd86.txt	BRIDGE
873.w4lift-080f6c45c387.txt	873.w4lift-b3535203faac.txt	872.up-8bc7f2b2ef49.txt	872.up-64bed4551eed.txt	BRIDGE
873.w4lift-080f6c45c387.txt	873.w4lift-ec7a591181ef.txt	872.up-8bc7f2b2ef49.txt	872.up-6e927d4108a3.txt	BRIDGE
873.w4lift-095295326550.txt	873.w4lift-9c6dd0bafce3.txt	872.up-ef5decf11b0d.txt	872.up-f582b4de11b3.txt	BRIDGE
873.w4lift-09562fda7acf.txt	873.w4lift-080f6c45c387.txt	872.up-238fdb108a17.txt	872.up-8bc7f2b2ef49.txt	BRIDGE
873.w4lift-09562fda7acf.txt	873.w4lift-0e76e182d4b1.txt	872.up-238fdb108a17.txt	872.up-8744a153bd86.txt	BRIDGE
873.w4lift-09562fda7acf.txt	873.w4lift-1302beec9d26.txt	872.up-238fdb108a17.txt	872.up-2c1494154ea6.txt	BRIDGE
873.w4lift-09562fda7acf.txt	873.w4lift-4d9a43ee2678.txt	872.up-238fdb108a17.txt	872.up-957a68729445.txt	BRIDGE
873.w4lift-09562fda7acf.txt	873.w4lift-9df2ff1c4dd0.txt	872.up-238fdb108a17.txt	872.up-a9e8dd3c28fa.txt	BRIDGE
873.w4lift-09562fda7acf.txt	873.w4lift-b3535203faac.txt	872.up-238fdb108a17.txt	872.up-64bed4551eed.txt	BRIDGE
873.w4lift-09562fda7acf.txt	873.w4lift-ec7a591181ef.txt	872.up-238fdb108a17.txt	872.up-6e927d4108a3.txt	BRIDGE
873.w4lift-096918a37b4c.txt	873.w4lift-ee0b45394a5c.txt	872.up-bac5a2cf536f.txt	872.up-aaeae43d97a9.txt	BRIDGE
873.w4lift-0975ebf1000a.txt	873.w4lift-afe8c71fafd0.txt	872.up-3c10ce7ca387.txt	872.up-c792e91e4f2c.txt	BRIDGE
873.w4lift-0b8de8822ee0.txt	873.w4lift-06d9b5ac0aec.txt	872.up-3214cc669fcb.txt	872.up-d08924967b2d.txt	BRIDGE
873.w4lift-0b8de8822ee0.txt	873.w4lift-e8370f507209.txt	872.up-3214cc669fcb.txt	872.up-a6938f30e463.txt	BRIDGE
873.w4lift-0ba310f1118f.txt	873.w4lift-3e0817675924.txt	872.up-2494d33b3dc3.txt	872.up-78dd9e9830df.txt	BRIDGE
873.w4lift-0c9c654cc184.txt	873.w4lift-2c2e132881a6.txt	872.up-e83cf969d73c.txt	872.up-9789736bc244.txt	BRIDGE
