rule_id	n	ents_out	ents_in	doors_out	doors_in	n_pairs	sigs	example_pair
9a9c0f8835c0	6	123654,126354,162354,235164,236514,263514,351264,351624,365124,512364,512634,516234,623514,635124,651234	123456,124356,142356,234516,235146,243516,345126,351246,351426,423516,435126,451236,512346,512436,514236			208	23298e5f83f2,3d5058eca44f,750b982b1093,9839ed7b6c83,a878e22aaee9,aafe48b4401a,bacdfecd703d,bde3b0b76807,be6e2bd5e26f,c8b26fe73a29,d8e30b9c7721,f29f34f4d9d2	872.up-7ad1d8247eca.txt~872.up-f7bd304a1cf5.txt
47c49d109d2f	6	134652,346512,465132,513462,651342	123456,234516,345126,451236,512346			6	cfdc6d7d72a6	872.up-190eaef4d50e.txt~872.up-40fcdf4daaa6.txt
7a94c5053e55	6	123456,123546,125346,152346,234156,234516,235416,253416,341256,341526,345126,354126,412356,412536,415236,451236,512346,523416,534126,541236	123465,123645,126345,162345,234165,234615,236415,263415,341265,341625,346125,364125,412365,412635,416235,461235,612345,623415,634125,641235			2	8225283f16bc	872.up-56ddcb96caa9.txt~872.up-8c2c3f50257e.txt
