rule_id	n	ents_out	ents_in	doors_out	doors_in	n_pairs	sigs	example_pair
0f7d2db027b5	7		3462517	7314625>4625137		3	RBND-FWD-END	s47-twin
12a2a068d7f9	7		5123467	7651234>1234567		3	RBND-FWD-START	s47-twin
8fb799d03e70	7	3462517			7314625>4625137	3	RBND-REV-END	s47-twin
049855ebecd7	7	5123467			7651234>1234567	3	RBND-REV-START	s47-twin
c5eea8cfe39f	7		3462517,5123467	7314625>4625137,7651234>1234567		3	RBND-TWIN-FWD	s47-twin
cc2051680646	7	3462517,5123467			7314625>4625137,7651234>1234567	3	RBND-TWIN-REV	s47-twin
