rule_id	n	ents_out	ents_in	doors_out	doors_in	n_pairs	sigs	example_pair
49c5410504fe	7	1234765,1237465,1273465,1346257,1362457,1362547,1436257,1723465,2346175,2347615,2374615,2451367,2513467,2514367,2541367,2734615,3461275,3461725,3462517,3476125,3624517,3625147,3625417,3746125,4136257,4362517,4513627,4612375,4612735,4617235,4625137,4761235,5134627,5136247,5143627,5413627,6123475,6123745,6127345,6172345,6245137,6251347,6251437,6254137,7234615,7346125,7461235,7612345	1234567,1235467,1253467,1362574,1362754,1376254,1523467,1736254,2345617,2346157,2354617,2513764,2517364,2534617,2571364,2751364,3456127,3461257,3461527,3546127,3625174,3625714,3627514,3762514,4561237,4612357,4612537,4615237,5136274,5137624,5173624,5234617,5346127,5461237,5612347,5713624,6123457,6123547,6125347,6152347,6251374,6251734,6257134,6275134,7136254,7362514,7513624,7625134			15	-	5906.lswap-17203113788c.txt~5906.lswap-e0920da719d9.txt
4f671bc3d3f3	7	1234567,1235467,1253467,1362574,1362754,1376254,1523467,1736254,2345617,2346157,2354617,2513764,2517364,2534617,2571364,2751364,3456127,3461257,3461527,3546127,3625174,3625714,3627514,3762514,4561237,4612357,4612537,4615237,5136274,5137624,5173624,5234617,5346127,5461237,5612347,5713624,6123457,6123547,6125347,6152347,6251374,6251734,6257134,6275134,7136254,7362514,7513624,7625134	1234765,1237465,1273465,1346257,1362457,1362547,1436257,1723465,2346175,2347615,2374615,2451367,2513467,2514367,2541367,2734615,3461275,3461725,3462517,3476125,3624517,3625147,3625417,3746125,4136257,4362517,4513627,4612375,4612735,4617235,4625137,4761235,5134627,5136247,5143627,5413627,6123475,6123745,6127345,6172345,6245137,6251347,6251437,6254137,7234615,7346125,7461235,7612345			15	-	5906.lswap-17203113788c.txt~5906.lswap-e0920da719d9.txt
398028eae919	7	1234567,1235467,1253467,1346257,1362457,1362547,1436257,1523467,2345617,2346157,2354617,2451367,2513467,2514367,2534617,2541367,3456127,3461257,3461527,3462517,3546127,3624517,3625147,3625417,4136257,4362517,4513627,4561237,4612357,4612537,4615237,4625137,5134627,5136247,5143627,5234617,5346127,5413627,5461237,5612347,6123457,6123547,6125347,6152347,6245137,6251347,6251437,6254137	1234765,1237465,1273465,1362574,1362754,1376254,1723465,1736254,2346175,2347615,2374615,2513764,2517364,2571364,2734615,2751364,3461275,3461725,3476125,3625174,3625714,3627514,3746125,3762514,4612375,4612735,4617235,4761235,5136274,5137624,5173624,5713624,6123475,6123745,6127345,6172345,6251374,6251734,6257134,6275134,7136254,7234615,7346125,7362514,7461235,7513624,7612345,7625134			15	-	5906.lswap-3baeeea281f2.txt~5906.lswap-6d7ea156bdcc.txt
a805ea3de51d	7	1234765,1237465,1273465,1362574,1362754,1376254,1723465,1736254,2346175,2347615,2374615,2513764,2517364,2571364,2734615,2751364,3461275,3461725,3476125,3625174,3625714,3627514,3746125,3762514,4612375,4612735,4617235,4761235,5136274,5137624,5173624,5713624,6123475,6123745,6127345,6172345,6251374,6251734,6257134,6275134,7136254,7234615,7346125,7362514,7461235,7513624,7612345,7625134	1234567,1235467,1253467,1346257,1362457,1362547,1436257,1523467,2345617,2346157,2354617,2451367,2513467,2514367,2534617,2541367,3456127,3461257,3461527,3462517,3546127,3624517,3625147,3625417,4136257,4362517,4513627,4561237,4612357,4612537,4615237,4625137,5134627,5136247,5143627,5234617,5346127,5413627,5461237,5612347,6123457,6123547,6125347,6152347,6245137,6251347,6251437,6254137			15	-	5906.lswap-3baeeea281f2.txt~5906.lswap-6d7ea156bdcc.txt
cb67e923a6ca	7	1345762,1346572,1346752,1347562,1354672,1374562,1534672,1734562,3456172,3457612,3465712,3467152,3467512,3475612,3546712,3745612,4561372,4561732,4576132,4657132,4671352,4671532,4675132,4756132,5134672,5346712,5467132,5613472,5613742,5617342,5713462,5761342,6134572,6134752,6137452,6173452,6571342,6713542,6715342,6751342,7134652,7135462,7153462,7345612,7456132,7513462,7561342,7613452	1234567,1234675,1324567,1324675,1342567,1345267,1346275,1346725,2134675,2345617,2346715,2456137,2467135,2561347,2613457,2713465,3245617,3246715,3425617,3452617,3456127,3462715,3467125,3467215,4256137,4526137,4561237,4561327,4627135,4671235,4671325,4672135,5261347,5612347,5613247,5613427,6123457,6132457,6134257,6134527,6271345,6712345,6713245,6721345,7123465,7132465,7134625,7213465			14	-	5906.lswap-2ae54d2fd96c.txt~5906.lswap-af54b6f406a6.txt
74d91872eeb5	7	1234567,1234675,1324567,1324675,1342567,1345267,1346275,1346725,2134675,2345617,2346715,2456137,2467135,2561347,2613457,2713465,3245617,3246715,3425617,3452617,3456127,3462715,3467125,3467215,4256137,4526137,4561237,4561327,4627135,4671235,4671325,4672135,5261347,5612347,5613247,5613427,6123457,6132457,6134257,6134527,6271345,6712345,6713245,6721345,7123465,7132465,7134625,7213465	1345762,1346572,1346752,1347562,1354672,1374562,1534672,1734562,3456172,3457612,3465712,3467152,3467512,3475612,3546712,3745612,4561372,4561732,4576132,4657132,4671352,4671532,4675132,4756132,5134672,5346712,5467132,5613472,5613742,5617342,5713462,5761342,6134572,6134752,6137452,6173452,6571342,6713542,6715342,6751342,7134652,7135462,7153462,7345612,7456132,7513462,7561342,7613452			14	-	5906.lswap-2ae54d2fd96c.txt~5906.lswap-af54b6f406a6.txt
2e62188e3c8b	7	1234567,1324567,1342567,1345267,1346572,1346752,1354672,1534672,2345617,2456137,2561347,2613457,3245617,3425617,3452617,3456127,3465712,3467152,3467512,3546712,4256137,4526137,4561237,4561327,4657132,4671352,4671532,4675132,5134672,5261347,5346712,5467132,5612347,5613247,5613427,5713462,6123457,6132457,6134257,6134527,6571342,6713542,6715342,6751342,7134652,7135462,7153462,7513462	1234675,1324675,1345762,1346275,1346725,1347562,1374562,1734562,2134675,2346715,2467135,2713465,3246715,3456172,3457612,3462715,3467125,3467215,3475612,3745612,4561372,4561732,4576132,4627135,4671235,4671325,4672135,4756132,5613472,5613742,5617342,5761342,6134572,6134752,6137452,6173452,6271345,6712345,6713245,6721345,7123465,7132465,7134625,7213465,7345612,7456132,7561342,7613452			14	-	5906.lswap-3b66fbdbdf53.txt~5906.lswap-6d0ad177e5ee.txt
48f9270682d9	7	1234675,1324675,1345762,1346275,1346725,1347562,1374562,1734562,2134675,2346715,2467135,2713465,3246715,3456172,3457612,3462715,3467125,3467215,3475612,3745612,4561372,4561732,4576132,4627135,4671235,4671325,4672135,4756132,5613472,5613742,5617342,5761342,6134572,6134752,6137452,6173452,6271345,6712345,6713245,6721345,7123465,7132465,7134625,7213465,7345612,7456132,7561342,7613452	1234567,1324567,1342567,1345267,1346572,1346752,1354672,1534672,2345617,2456137,2561347,2613457,3245617,3425617,3452617,3456127,3465712,3467152,3467512,3546712,4256137,4526137,4561237,4561327,4657132,4671352,4671532,4675132,5134672,5261347,5346712,5467132,5612347,5613247,5613427,5713462,6123457,6132457,6134257,6134527,6571342,6713542,6715342,6751342,7134652,7135462,7153462,7513462			14	-	5906.lswap-3b66fbdbdf53.txt~5906.lswap-6d0ad177e5ee.txt
f4276d62e543	7	1234567,1235467,1253467,1523467,1542673,1542763,1546273,1564273,2345617,2346157,2354617,2534617,2671543,2715463,2715643,2761543,3456127,3461257,3461527,3546127,4267153,4271563,4276153,4561237,4612357,4612537,4615237,4627153,5234617,5346127,5426713,5427613,5461237,5462713,5612347,5642713,6123457,6123547,6125347,6152347,6154273,6271543,6427153,6715423,7154263,7154623,7156423,7615423	1234765,1237465,1273465,1534276,1542376,1542736,1543276,1723465,2346175,2347615,2371546,2374615,2715346,2715436,2731546,2734615,3154276,3271546,3427156,3461275,3461725,3476125,3715426,3746125,4237156,4271536,4273156,4327156,4612375,4612735,4617235,4761235,5342716,5423716,5427316,5432716,6123475,6123745,6127345,6172345,7153426,7154236,7154326,7234615,7315426,7346125,7461235,7612345			13	-	5906.lswap-7602ba885180.txt~5906.up-e948752d6a32.txt
2257058c3d2d	7	1234765,1237465,1273465,1534276,1542376,1542736,1543276,1723465,2346175,2347615,2371546,2374615,2715346,2715436,2731546,2734615,3154276,3271546,3427156,3461275,3461725,3476125,3715426,3746125,4237156,4271536,4273156,4327156,4612375,4612735,4617235,4761235,5342716,5423716,5427316,5432716,6123475,6123745,6127345,6172345,7153426,7154236,7154326,7234615,7315426,7346125,7461235,7612345	1234567,1235467,1253467,1523467,1542673,1542763,1546273,1564273,2345617,2346157,2354617,2534617,2671543,2715463,2715643,2761543,3456127,3461257,3461527,3546127,4267153,4271563,4276153,4561237,4612357,4612537,4615237,4627153,5234617,5346127,5426713,5427613,5461237,5462713,5612347,5642713,6123457,6123547,6125347,6152347,6154273,6271543,6427153,6715423,7154263,7154623,7156423,7615423			13	-	5906.lswap-7602ba885180.txt~5906.up-e948752d6a32.txt
