file	length	S	inter	intra	waste
5906.up-02d771908307.txt	5906	844	3:17	-	860
5906.up-0a065898a821.txt	5906	838	3:23	-	860
5906.up-0d2e98183c29.txt	5906	844	3:17	-	860
5906.up-0db50fc7743c.txt	5906	844	3:17	-	860
5906.up-1206598d1ff0.txt	5906	840	3:21	-	860
5906.up-14e2c7b29aae.txt	5906	844	3:17	-	860
5906.up-168d62e1a9d1.txt	5906	844	3:17	-	860
5906.up-16ca46d2c5a9.txt	5906	844	3:17	-	860
5906.up-1b0920685429.txt	5906	844	3:17	-	860
5906.up-1b8244ba04bb.txt	5906	838	3:23	-	860
5906.up-1bced7f87a93.txt	5906	844	3:17	-	860
5906.up-1e6ba5f50479.txt	5906	844	3:17	-	860
5906.up-207dc5352d35.txt	5906	844	3:17	-	860
5906.up-23ca8a9bcc81.txt	5906	844	3:17	-	860
5906.up-2cb6c1139592.txt	5906	844	3:17	-	860
5906.up-331228e22360.txt	5906	842	3:19	-	860
5906.up-331e3f0f91ee.txt	5906	844	3:17	-	860
5906.up-377da0a3c300.txt	5906	838	3:23	-	860
5906.up-37ac2db82134.txt	5906	844	3:17	-	860
5906.up-3ba99c5557bb.txt	5906	844	3:17	-	860
5906.up-3de4f10d5095.txt	5906	844	3:17	-	860
5906.up-3ffb4355518f.txt	5906	844	3:17	-	860
5906.up-454308027985.txt	5906	844	3:17	-	860
5906.up-4c3eef44600b.txt	5906	844	3:17	-	860
5906.up-53b55626d912.txt	5906	844	3:17	-	860
5906.up-55058cab6cba.txt	5906	844	3:17	-	860
5906.up-56126e7237c3.txt	5906	840	3:21	-	860
5906.up-590fe2cb2c21.txt	5906	840	3:21	-	860
5906.up-5ce87c54ecea.txt	5906	844	3:17	-	860
5906.up-63a938be8d73.txt	5906	844	3:17	-	860
5906.up-6572648567f1.txt	5906	844	3:17	-	860
5906.up-6597315411ea.txt	5906	838	3:23	-	860
5906.up-6773ff05a318.txt	5906	844	3:17	-	860
5906.up-6a142cb8e27d.txt	5906	840	3:21	-	860
5906.up-6a8f7756517b.txt	5906	844	3:17	-	860
5906.up-6f42b3603dac.txt	5906	840	3:21	-	860
5906.up-72482a71c81e.txt	5906	838	3:23	-	860
5906.up-756ff2ed09bd.txt	5906	844	3:17	-	860
5906.up-77512ee88848.txt	5906	844	3:17	-	860
5906.up-7824c044436e.txt	5906	844	3:17	-	860
5906.up-78d638be95ae.txt	5906	844	3:17	-	860
5906.up-7c111e182316.txt	5906	844	3:17	-	860
5906.up-7f9a93193f10.txt	5906	840	3:21	-	860
5906.up-839c85982253.txt	5906	844	3:17	-	860
5906.up-890b6674bd25.txt	5906	836	3:25	-	860
5906.up-8b8c8916a24a.txt	5906	842	3:19	-	860
5906.up-8ec03171f5df.txt	5906	844	3:17	-	860
5906.up-91a0d3cd2c14.txt	5906	844	3:17	-	860
5906.up-956f3f1864b5.txt	5906	844	3:17	-	860
5906.up-95ffff5c765c.txt	5906	844	3:17	-	860
5906.up-9a915a83c416.txt	5906	844	3:17	-	860
5906.up-a001786e5861.txt	5906	844	3:17	-	860
5906.up-a00b3e52965d.txt	5906	844	3:17	-	860
5906.up-a233fdf94b8d.txt	5906	844	3:17	-	860
5906.up-a235b0e09b6c.txt	5906	844	3:17	-	860
5906.up-a30c7c517d7b.txt	5906	844	3:17	-	860
5906.up-a838f31a7b4f.txt	5906	844	3:17	-	860
5906.up-abe33e328763.txt	5906	844	3:17	-	860
5906.up-aed220b1ebc4.txt	5906	844	3:17	-	860
5906.up-b2d6bec1e3bd.txt	5906	844	3:17	-	860
5906.up-bd458e7fc19e.txt	5906	840	3:21	-	860
5906.up-c2286e4674af.txt	5906	844	3:17	-	860
5906.up-c3afee7ed153.txt	5906	838	3:23	-	860
5906.up-c63a66adbc60.txt	5906	838	3:23	-	860
5906.up-cad80abdf334.txt	5906	844	3:17	-	860
5906.up-d0b9281ca469.txt	5906	836	3:25	-	860
5906.up-d1489855deef.txt	5906	838	3:23	-	860
5906.up-d2559533f431.txt	5906	844	3:17	-	860
5906.up-d8c6ba46400e.txt	5906	844	3:17	-	860
5906.up-d9a28c2d8195.txt	5906	843	3:18	-	860
5906.up-da93a66cd37b.txt	5906	844	3:17	-	860
5906.up-dab493384582.txt	5906	844	3:17	-	860
5906.up-dcd1e20d40f8.txt	5906	844	3:17	-	860
5906.up-df8c9033249e.txt	5906	840	3:21	-	860
5906.up-e132c7a7c340.txt	5906	844	3:17	-	860
5906.up-e1680a9d0e30.txt	5906	844	3:17	-	860
5906.up-e65e244c83d3.txt	5906	844	3:17	-	860
5906.up-e8da0f18269f.txt	5906	844	3:17	-	860
5906.up-e948752d6a32.txt	5906	844	3:17	-	860
5906.up-e94d2b57a7d4.txt	5906	844	3:17	-	860
5906.up-eebb02e3baec.txt	5906	844	3:17	-	860
5906.up-f0a3bb335ed9.txt	5906	844	3:17	-	860
5906.up-f2c7804be474.txt	5906	838	3:23	-	860
5906.up-f8d1e70c6a52.txt	5906	840	3:21	-	860
5907.up-6f2e8d9df51c.txt	5907	858	3:4	-	861
5907.up-88baf8bb54d4.txt	5907	858	3:4	-	861
5907.up-8bfe45cb89f5.txt	5907	858	3:4	-	861
