file	segments (record:step_lo-step_hi)
872.h-10c7cbe.txt	872.g1-992c42f.txt:0-432;872.g1-ca00934.txt:433-718
872.h-287df8a.txt	872.g1-ca00934.txt:0-432;872.g1-992c42f.txt:433-718
